date,group,counter
2021_07_02,Fat and Skinny-shaming language,0
2021_07_02,Violent language,0
2021_07_07,Racial slurs,0
2021_07_07,Misogynistic language,1
2021_07_07,Homophobic and transphobic language,0
2021_07_07,Ableist language,0
2021_07_07,Fat and Skinny-shaming language,0
2021_07_07,Violent language,0
2021_07_12,Racial slurs,0
2021_07_12,Misogynistic language,1
2021_07_12,Homophobic and transphobic language,0
2021_07_12,Ableist language,0
2021_07_12,Fat and Skinny-shaming language,0
2021_07_12,Violent language,0
2021_07_16,Racial slurs,0
2021_07_16,Misogynistic language,1
2021_07_16,Homophobic and transphobic language,0
2021_07_16,Ableist language,0
2021_07_16,Fat and Skinny-shaming language,0
2021_07_16,Violent language,0
2021_07_26,Racial slurs,0
2021_07_26,Misogynistic language,1
2021_07_26,Homophobic and transphobic language,0
2021_07_26,Ableist language,0
2021_07_26,Fat and Skinny-shaming language,0
2021_07_26,Violent language,0
2021_08_06,Racial slurs,0
2021_08_06,Misogynistic language,1
2021_08_06,Homophobic and transphobic language,0
2021_08_06,Ableist language,0
2021_08_06,Fat and Skinny-shaming language,0
2021_08_06,Violent language,0
2021_08_20,Racial slurs,0
2021_08_20,Misogynistic language,1
2021_08_20,Homophobic and transphobic language,0
2021_08_20,Ableist language,0
2021_08_20,Fat and Skinny-shaming language,0
2021_08_20,Violent language,0
2021_08_22,Racial slurs,0
2021_08_22,Misogynistic language,1
2021_08_22,Homophobic and transphobic language,0
2021_08_22,Ableist language,0
2021_08_22,Fat and Skinny-shaming language,0
2021_08_22,Violent language,0
2021_08_31,Racial slurs,0
2021_08_31,Misogynistic language,2
2021_08_31,Homophobic and transphobic language,0
2021_08_31,Ableist language,0
2021_08_31,Fat and Skinny-shaming language,0
2021_08_31,Violent language,0
2021_09_07,Racial slurs,0
2021_09_07,Misogynistic language,1
2021_09_07,Homophobic and transphobic language,0
2021_09_07,Ableist language,0
2021_09_07,Fat and Skinny-shaming language,0
2021_09_07,Violent language,0
2021_10_14,Racial slurs,0
2021_10_14,Misogynistic language,1
2021_10_14,Homophobic and transphobic language,0
2021_10_14,Ableist language,0
2021_10_14,Fat and Skinny-shaming language,0
2021_10_14,Violent language,0
2021_10_23,Racial slurs,0
2021_10_23,Misogynistic language,1
2021_10_23,Homophobic and transphobic language,0
2021_10_23,Ableist language,0
2021_10_23,Fat and Skinny-shaming language,0
2021_10_23,Violent language,0
2021_10_25,Racial slurs,0
2021_10_25,Misogynistic language,1
2021_10_25,Homophobic and transphobic language,0
2021_10_25,Ableist language,0
2021_10_25,Fat and Skinny-shaming language,0
2021_10_25,Violent language,0
2021_10_31,Racial slurs,0
2021_10_31,Misogynistic language,1
2021_10_31,Homophobic and transphobic language,0
2021_10_31,Ableist language,0
2021_10_31,Fat and Skinny-shaming language,0
2021_10_31,Violent language,0
2021_11_04,Racial slurs,0
2021_11_04,Misogynistic language,2
2021_11_04,Homophobic and transphobic language,0
2021_11_04,Ableist language,0
2021_11_04,Fat and Skinny-shaming language,0
2021_11_04,Violent language,0
2021_11_05,Racial slurs,0
2021_11_05,Misogynistic language,1
2021_11_05,Homophobic and transphobic language,0
2021_11_05,Ableist language,0
2021_11_05,Fat and Skinny-shaming language,0
2021_11_05,Violent language,0
2021_11_16,Racial slurs,0
2021_11_16,Misogynistic language,1
2021_11_16,Homophobic and transphobic language,0
2021_11_16,Ableist language,0
2021_11_16,Fat and Skinny-shaming language,0
2021_11_16,Violent language,0
2021_11_24,Racial slurs,0
2021_11_24,Misogynistic language,1
2021_11_24,Homophobic and transphobic language,0
2021_11_24,Ableist language,0
2021_11_24,Fat and Skinny-shaming language,0
2021_11_24,Violent language,0
2021_11_25,Racial slurs,0
2021_11_25,Misogynistic language,1
2021_11_25,Homophobic and transphobic language,0
2021_11_25,Ableist language,0
2021_11_25,Fat and Skinny-shaming language,0
2021_11_25,Violent language,0
2021_11_29,Racial slurs,0
2021_11_29,Misogynistic language,1
2021_11_29,Homophobic and transphobic language,0
2021_11_29,Ableist language,0
2021_11_29,Fat and Skinny-shaming language,0
2021_11_29,Violent language,0
2021_12_08,Racial slurs,0
2021_12_08,Misogynistic language,1
2021_12_08,Homophobic and transphobic language,0
2021_12_08,Ableist language,0
2021_12_08,Fat and Skinny-shaming language,0
2021_12_08,Violent language,0
2019_04_05,Racial slurs,0
2019_04_05,Misogynistic language,3
2019_04_05,Homophobic and transphobic language,0
2019_04_05,Ableist language,0
2019_04_05,Fat and Skinny-shaming language,0
2019_04_05,Violent language,0
2021_01_01,Racial slurs,0
2021_01_01,Misogynistic language,2
2021_01_01,Homophobic and transphobic language,0
2021_01_01,Ableist language,0
2021_01_01,Fat and Skinny-shaming language,0
2021_01_01,Violent language,0
2021_01_02,Racial slurs,0
2021_01_02,Misogynistic language,1
2021_01_02,Homophobic and transphobic language,0
2021_01_02,Ableist language,0
2021_01_02,Fat and Skinny-shaming language,0
2021_01_02,Violent language,0
2021_01_05,Racial slurs,0
2021_01_05,Misogynistic language,1
2021_01_05,Homophobic and transphobic language,0
2021_01_05,Ableist language,0
2021_01_05,Fat and Skinny-shaming language,0
2021_01_05,Violent language,0
2021_01_07,Racial slurs,0
2021_01_07,Misogynistic language,1
2021_01_07,Homophobic and transphobic language,0
2021_01_07,Ableist language,0
2021_01_07,Fat and Skinny-shaming language,0
2021_01_07,Violent language,0
2021_01_27,Racial slurs,0
2021_01_27,Misogynistic language,2
2021_01_27,Homophobic and transphobic language,0
2021_01_27,Ableist language,0
2021_01_27,Fat and Skinny-shaming language,0
2021_01_27,Violent language,0
2021_02_02,Racial slurs,0
2021_02_02,Misogynistic language,2
2021_02_02,Homophobic and transphobic language,0
2021_02_02,Ableist language,0
2021_02_02,Fat and Skinny-shaming language,0
2021_02_02,Violent language,0
2021_02_07,Racial slurs,0
2021_02_07,Misogynistic language,1
2021_02_07,Homophobic and transphobic language,0
2021_02_07,Ableist language,0
2021_02_07,Fat and Skinny-shaming language,0
2021_02_07,Violent language,0
2021_02_12,Racial slurs,0
2021_02_12,Misogynistic language,1
2021_02_12,Homophobic and transphobic language,0
2021_02_12,Ableist language,0
2021_02_12,Fat and Skinny-shaming language,0
2021_02_12,Violent language,0
2021_02_16,Racial slurs,0
2021_02_16,Misogynistic language,1
2021_02_16,Homophobic and transphobic language,0
2021_02_16,Ableist language,0
2021_02_16,Fat and Skinny-shaming language,0
2021_02_16,Violent language,0
2021_02_21,Racial slurs,0
2021_02_21,Misogynistic language,1
2021_02_21,Homophobic and transphobic language,0
2021_02_21,Ableist language,0
2021_02_21,Fat and Skinny-shaming language,0
2021_02_21,Violent language,0
2021_02_28,Racial slurs,0
2021_02_28,Misogynistic language,1
2021_02_28,Homophobic and transphobic language,0
2021_02_28,Ableist language,0
2021_02_28,Fat and Skinny-shaming language,0
2021_02_28,Violent language,0
2021_03_26,Racial slurs,0
2021_03_26,Misogynistic language,1
2021_03_26,Homophobic and transphobic language,0
2021_03_26,Ableist language,0
2021_03_26,Fat and Skinny-shaming language,0
2021_03_26,Violent language,0
2021_04_10,Racial slurs,0
2021_04_10,Misogynistic language,1
2021_04_10,Homophobic and transphobic language,0
2021_04_10,Ableist language,0
2021_04_10,Fat and Skinny-shaming language,0
2021_04_10,Violent language,0
2021_04_20,Racial slurs,0
2021_04_20,Misogynistic language,1
2021_04_20,Homophobic and transphobic language,0
2021_04_20,Ableist language,0
2021_04_20,Fat and Skinny-shaming language,0
2021_04_20,Violent language,0
2021_05_04,Racial slurs,0
2021_05_04,Misogynistic language,1
2021_05_04,Homophobic and transphobic language,0
2021_05_04,Ableist language,0
2021_05_04,Fat and Skinny-shaming language,0
2021_05_04,Violent language,0
2021_05_12,Racial slurs,0
2021_05_12,Misogynistic language,1
2021_05_12,Homophobic and transphobic language,0
2021_05_12,Ableist language,0
2021_05_12,Fat and Skinny-shaming language,0
2021_05_12,Violent language,0
2021_05_14,Racial slurs,0
2021_05_14,Misogynistic language,1
2021_05_14,Homophobic and transphobic language,0
2021_05_14,Ableist language,0
2021_05_14,Fat and Skinny-shaming language,0
2021_05_14,Violent language,0
2021_05_28,Racial slurs,0
2021_05_28,Misogynistic language,1
2021_05_28,Homophobic and transphobic language,0
2021_05_28,Ableist language,0
2021_05_28,Fat and Skinny-shaming language,0
2021_05_28,Violent language,0
2021_05_31,Racial slurs,0
2021_05_31,Misogynistic language,1
2021_05_31,Homophobic and transphobic language,0
2021_05_31,Ableist language,0
2021_05_31,Fat and Skinny-shaming language,0
2021_05_31,Violent language,0
2021_06_19,Racial slurs,0
2021_06_19,Misogynistic language,2
2021_06_19,Homophobic and transphobic language,0
2021_06_19,Ableist language,0
2021_06_19,Fat and Skinny-shaming language,0
2021_06_19,Violent language,0
2021_06_24,Racial slurs,0
2021_06_24,Misogynistic language,1
2021_06_24,Homophobic and transphobic language,0
2021_06_24,Ableist language,0
2021_06_24,Fat and Skinny-shaming language,0
2021_06_24,Violent language,0
2021_07_02,Racial slurs,0
2021_07_02,Misogynistic language,1
2021_07_02,Homophobic and transphobic language,0
2021_07_02,Ableist language,0
2021_07_02,Fat and Skinny-shaming language,0
2021_07_02,Violent language,0
2021_07_07,Racial slurs,0
2021_07_07,Misogynistic language,1
2021_07_07,Homophobic and transphobic language,0
2021_07_07,Ableist language,0
2021_07_07,Fat and Skinny-shaming language,0
2021_07_07,Violent language,0
2021_07_12,Racial slurs,0
2021_07_12,Misogynistic language,1
2021_07_12,Homophobic and transphobic language,0
2021_07_12,Ableist language,0
2021_07_12,Fat and Skinny-shaming language,0
2021_07_12,Violent language,0
2021_07_16,Racial slurs,0
2021_07_16,Misogynistic language,1
2021_07_16,Homophobic and transphobic language,0
2021_07_16,Ableist language,0
2021_07_16,Fat and Skinny-shaming language,0
2021_07_16,Violent language,0
2021_07_26,Racial slurs,0
2021_07_26,Misogynistic language,1
2021_07_26,Homophobic and transphobic language,0
2021_07_26,Ableist language,0
2021_07_26,Fat and Skinny-shaming language,0
2021_07_26,Violent language,0
2021_08_06,Racial slurs,0
2021_08_06,Misogynistic language,1
2021_08_06,Homophobic and transphobic language,0
2021_08_06,Ableist language,0
2021_08_06,Fat and Skinny-shaming language,0
2021_08_06,Violent language,0
2021_08_20,Racial slurs,0
2021_08_20,Misogynistic language,1
2021_08_20,Homophobic and transphobic language,0
2021_08_20,Ableist language,0
2021_08_20,Fat and Skinny-shaming language,0
2021_08_20,Violent language,0
2021_08_22,Racial slurs,0
2021_08_22,Misogynistic language,1
2021_08_22,Homophobic and transphobic language,0
2021_08_22,Ableist language,0
2021_08_22,Fat and Skinny-shaming language,0
2021_08_22,Violent language,0
2021_08_31,Racial slurs,0
2021_08_31,Misogynistic language,2
2021_08_31,Homophobic and transphobic language,0
2021_08_31,Ableist language,0
2021_08_31,Fat and Skinny-shaming language,0
2021_08_31,Violent language,0
2021_09_07,Racial slurs,0
2021_09_07,Misogynistic language,1
2021_09_07,Homophobic and transphobic language,0
2021_09_07,Ableist language,0
2021_09_07,Fat and Skinny-shaming language,0
2021_09_07,Violent language,0
2021_10_14,Racial slurs,0
2021_10_14,Misogynistic language,1
2021_10_14,Homophobic and transphobic language,0
2021_10_14,Ableist language,0
2021_10_14,Fat and Skinny-shaming language,0
2021_10_14,Violent language,0
2021_10_23,Racial slurs,0
2021_10_23,Misogynistic language,1
2021_10_23,Homophobic and transphobic language,0
2021_10_23,Ableist language,0
2021_10_23,Fat and Skinny-shaming language,0
2021_10_23,Violent language,0
2021_10_25,Racial slurs,0
2021_10_25,Misogynistic language,1
2021_10_25,Homophobic and transphobic language,0
2021_10_25,Ableist language,0
2021_10_25,Fat and Skinny-shaming language,0
2021_10_25,Violent language,0
2021_10_31,Racial slurs,0
2021_10_31,Misogynistic language,1
2021_10_31,Homophobic and transphobic language,0
2021_10_31,Ableist language,0
2021_10_31,Fat and Skinny-shaming language,0
2021_10_31,Violent language,0
2021_11_04,Racial slurs,0
2021_11_04,Misogynistic language,2
2021_11_04,Homophobic and transphobic language,0
2021_11_04,Ableist language,0
2021_11_04,Fat and Skinny-shaming language,0
2021_11_04,Violent language,0
2021_11_05,Racial slurs,0
2021_11_05,Misogynistic language,1
2021_11_05,Homophobic and transphobic language,0
2021_11_05,Ableist language,0
2021_11_05,Fat and Skinny-shaming language,0
2021_11_05,Violent language,0
2021_11_16,Racial slurs,0
2021_11_16,Misogynistic language,1
2021_11_16,Homophobic and transphobic language,0
2021_11_16,Ableist language,0
2021_11_16,Fat and Skinny-shaming language,0
2021_11_16,Violent language,0
2021_11_24,Racial slurs,0
2021_11_24,Misogynistic language,1
2021_11_24,Homophobic and transphobic language,0
2021_11_24,Ableist language,0
2021_11_24,Fat and Skinny-shaming language,0
2021_11_24,Violent language,0
2021_11_25,Racial slurs,0
2021_11_25,Misogynistic language,1
2021_11_25,Homophobic and transphobic language,0
2021_11_25,Ableist language,0
2021_11_25,Fat and Skinny-shaming language,0
2021_11_25,Violent language,0
2021_11_29,Racial slurs,0
2021_11_29,Misogynistic language,1
2021_11_29,Homophobic and transphobic language,0
2021_11_29,Ableist language,0
2021_11_29,Fat and Skinny-shaming language,0
2021_11_29,Violent language,0
2021_12_08,Racial slurs,0
2021_12_08,Misogynistic language,1
2021_12_08,Homophobic and transphobic language,0
2021_12_08,Ableist language,0
2021_12_08,Fat and Skinny-shaming language,0
2021_12_08,Violent language,0
2021_08_01,Racial slurs,0
2021_08_01,Misogynistic language,0
2021_08_01,Homophobic and transphobic language,1
2021_08_01,Ableist language,0
2021_08_01,Fat and Skinny-shaming language,0
2021_08_01,Violent language,0
2019_04_05,Racial slurs,0
2019_04_05,Misogynistic language,3
2019_04_05,Homophobic and transphobic language,0
2019_04_05,Ableist language,0
2019_04_05,Fat and Skinny-shaming language,0
2019_04_05,Violent language,0
2021_01_01,Racial slurs,0
2021_01_01,Misogynistic language,2
2021_01_01,Homophobic and transphobic language,0
2021_01_01,Ableist language,0
2021_01_01,Fat and Skinny-shaming language,0
2021_01_01,Violent language,0
2021_01_02,Racial slurs,0
2021_01_02,Misogynistic language,1
2021_01_02,Homophobic and transphobic language,0
2021_01_02,Ableist language,7
2021_01_02,Fat and Skinny-shaming language,0
2021_01_02,Violent language,0
2021_01_05,Racial slurs,0
2021_01_05,Misogynistic language,1
2021_01_05,Homophobic and transphobic language,0
2021_01_05,Ableist language,0
2021_01_05,Fat and Skinny-shaming language,0
2021_01_05,Violent language,0
2021_01_07,Racial slurs,0
2021_01_07,Misogynistic language,1
2021_01_07,Homophobic and transphobic language,0
2021_01_07,Ableist language,0
2021_01_07,Fat and Skinny-shaming language,0
2021_01_07,Violent language,0
2021_01_27,Racial slurs,0
2021_01_27,Misogynistic language,2
2021_01_27,Homophobic and transphobic language,0
2021_01_27,Ableist language,0
2021_01_27,Fat and Skinny-shaming language,0
2021_01_27,Violent language,0
2021_02_02,Racial slurs,0
2021_02_02,Misogynistic language,2
2021_02_02,Homophobic and transphobic language,0
2021_02_02,Ableist language,0
2021_02_02,Fat and Skinny-shaming language,0
2021_02_02,Violent language,0
2021_02_07,Racial slurs,0
2021_02_07,Misogynistic language,1
2021_02_07,Homophobic and transphobic language,0
2021_02_07,Ableist language,0
2021_02_07,Fat and Skinny-shaming language,0
2021_02_07,Violent language,0
2021_02_12,Racial slurs,0
2021_02_12,Misogynistic language,1
2021_02_12,Homophobic and transphobic language,0
2021_02_12,Ableist language,0
2021_02_12,Fat and Skinny-shaming language,0
2021_02_12,Violent language,0
2021_02_16,Racial slurs,0
2021_02_16,Misogynistic language,1
2021_02_16,Homophobic and transphobic language,0
2021_02_16,Ableist language,0
2021_02_16,Fat and Skinny-shaming language,0
2021_02_16,Violent language,0
2021_02_21,Racial slurs,0
2021_02_21,Misogynistic language,1
2021_02_21,Homophobic and transphobic language,0
2021_02_21,Ableist language,0
2021_02_21,Fat and Skinny-shaming language,0
2021_02_21,Violent language,0
2021_02_28,Racial slurs,0
2021_02_28,Misogynistic language,1
2021_02_28,Homophobic and transphobic language,0
2021_02_28,Ableist language,0
2021_02_28,Fat and Skinny-shaming language,0
2021_02_28,Violent language,0
2021_03_26,Racial slurs,0
2021_03_26,Misogynistic language,1
2021_03_26,Homophobic and transphobic language,0
2021_03_26,Ableist language,0
2021_03_26,Fat and Skinny-shaming language,0
2021_03_26,Violent language,0
2021_04_10,Racial slurs,0
2021_04_10,Misogynistic language,1
2021_04_10,Homophobic and transphobic language,0
2021_04_10,Ableist language,0
2021_04_10,Fat and Skinny-shaming language,0
2021_04_10,Violent language,0
2021_04_20,Racial slurs,0
2021_04_20,Misogynistic language,1
2021_04_20,Homophobic and transphobic language,0
2021_04_20,Ableist language,0
2021_04_20,Fat and Skinny-shaming language,0
2021_04_20,Violent language,0
2021_05_04,Racial slurs,0
2021_05_04,Misogynistic language,1
2021_05_04,Homophobic and transphobic language,0
2021_05_04,Ableist language,0
2021_05_04,Fat and Skinny-shaming language,0
2021_05_04,Violent language,0
2021_05_12,Racial slurs,0
2021_05_12,Misogynistic language,1
2021_05_12,Homophobic and transphobic language,0
2021_05_12,Ableist language,0
2021_05_12,Fat and Skinny-shaming language,0
2021_05_12,Violent language,0
2021_05_14,Racial slurs,0
2021_05_14,Misogynistic language,1
2021_05_14,Homophobic and transphobic language,0
2021_05_14,Ableist language,0
2021_05_14,Fat and Skinny-shaming language,0
2021_05_14,Violent language,0
2021_05_28,Racial slurs,0
2021_05_28,Misogynistic language,1
2021_05_28,Homophobic and transphobic language,0
2021_05_28,Ableist language,0
2021_05_28,Fat and Skinny-shaming language,0
2021_05_28,Violent language,0
2021_05_31,Racial slurs,0
2021_05_31,Misogynistic language,1
2021_05_31,Homophobic and transphobic language,0
2021_05_31,Ableist language,0
2021_05_31,Fat and Skinny-shaming language,0
2021_05_31,Violent language,0
2021_06_19,Racial slurs,0
2021_06_19,Misogynistic language,2
2021_06_19,Homophobic and transphobic language,0
2021_06_19,Ableist language,0
2021_06_19,Fat and Skinny-shaming language,0
2021_06_19,Violent language,0
2021_06_24,Racial slurs,0
2021_06_24,Misogynistic language,1
2021_06_24,Homophobic and transphobic language,0
2021_06_24,Ableist language,0
2021_06_24,Fat and Skinny-shaming language,0
2021_06_24,Violent language,0
2021_07_02,Racial slurs,0
2021_07_02,Misogynistic language,1
2021_07_02,Homophobic and transphobic language,0
2021_07_02,Ableist language,0
2021_07_02,Fat and Skinny-shaming language,0
2021_07_02,Violent language,0
2021_07_07,Racial slurs,0
2021_07_07,Misogynistic language,1
2021_07_07,Homophobic and transphobic language,0
2021_07_07,Ableist language,0
2021_07_07,Fat and Skinny-shaming language,0
2021_07_07,Violent language,0
2021_07_12,Racial slurs,0
2021_07_12,Misogynistic language,1
2021_07_12,Homophobic and transphobic language,0
2021_07_12,Ableist language,0
2021_07_12,Fat and Skinny-shaming language,0
2021_07_12,Violent language,0
2021_07_16,Racial slurs,0
2021_07_16,Misogynistic language,1
2021_07_16,Homophobic and transphobic language,0
2021_07_16,Ableist language,0
2021_07_16,Fat and Skinny-shaming language,0
2021_07_16,Violent language,0
2021_07_26,Racial slurs,0
2021_07_26,Misogynistic language,1
2021_07_26,Homophobic and transphobic language,0
2021_07_26,Ableist language,0
2021_07_26,Fat and Skinny-shaming language,0
2021_07_26,Violent language,0
2021_08_06,Racial slurs,0
2021_08_06,Misogynistic language,1
2021_08_06,Homophobic and transphobic language,0
2021_08_06,Ableist language,0
2021_08_06,Fat and Skinny-shaming language,0
2021_08_06,Violent language,0
2021_08_20,Racial slurs,0
2021_08_20,Misogynistic language,1
2021_08_20,Homophobic and transphobic language,0
2021_08_20,Ableist language,0
2021_08_20,Fat and Skinny-shaming language,0
2021_08_20,Violent language,0
2021_08_22,Racial slurs,0
2021_08_22,Misogynistic language,1
2021_08_22,Homophobic and transphobic language,0
2021_08_22,Ableist language,0
2021_08_22,Fat and Skinny-shaming language,0
2021_08_22,Violent language,0
2021_08_31,Racial slurs,0
2021_08_31,Misogynistic language,2
2021_08_31,Homophobic and transphobic language,0
2021_08_31,Ableist language,0
2021_08_31,Fat and Skinny-shaming language,0
2021_08_31,Violent language,0
2021_09_07,Racial slurs,0
2021_09_07,Misogynistic language,1
2021_09_07,Homophobic and transphobic language,0
2021_09_07,Ableist language,0
2021_09_07,Fat and Skinny-shaming language,0
2021_09_07,Violent language,0
2021_10_14,Racial slurs,0
2021_10_14,Misogynistic language,1
2021_10_14,Homophobic and transphobic language,0
2021_10_14,Ableist language,0
2021_10_14,Fat and Skinny-shaming language,0
2021_10_14,Violent language,0
2021_10_23,Racial slurs,0
2021_10_23,Misogynistic language,1
2021_10_23,Homophobic and transphobic language,0
2021_10_23,Ableist language,0
2021_10_23,Fat and Skinny-shaming language,0
2021_10_23,Violent language,0
2021_10_25,Racial slurs,0
2021_10_25,Misogynistic language,1
2021_10_25,Homophobic and transphobic language,0
2021_10_25,Ableist language,0
2021_10_25,Fat and Skinny-shaming language,0
2021_10_25,Violent language,0
2021_10_31,Racial slurs,0
2021_10_31,Misogynistic language,1
2021_10_31,Homophobic and transphobic language,0
2021_10_31,Ableist language,0
2021_10_31,Fat and Skinny-shaming language,0
2021_10_31,Violent language,0
2021_11_04,Racial slurs,0
2021_11_04,Misogynistic language,2
2021_11_04,Homophobic and transphobic language,0
2021_11_04,Ableist language,0
2021_11_04,Fat and Skinny-shaming language,0
2021_11_04,Violent language,0
2021_11_05,Racial slurs,0
2021_11_05,Misogynistic language,1
2021_11_05,Homophobic and transphobic language,0
2021_11_05,Ableist language,0
2021_11_05,Fat and Skinny-shaming language,0
2021_11_05,Violent language,0
2021_11_16,Racial slurs,0
2021_11_16,Misogynistic language,1
2021_11_16,Homophobic and transphobic language,0
2021_11_16,Ableist language,0
2021_11_16,Fat and Skinny-shaming language,0
2021_11_16,Violent language,0
2021_11_24,Racial slurs,0
2021_11_24,Misogynistic language,1
2021_11_24,Homophobic and transphobic language,0
2021_11_24,Ableist language,0
2021_11_24,Fat and Skinny-shaming language,0
2021_11_24,Violent language,0
2021_11_25,Racial slurs,0
2021_11_25,Misogynistic language,1
2021_11_25,Homophobic and transphobic language,0
2021_11_25,Ableist language,0
2021_11_25,Fat and Skinny-shaming language,0
2021_11_25,Violent language,0
2021_11_29,Racial slurs,0
2021_11_29,Misogynistic language,1
2021_11_29,Homophobic and transphobic language,0
2021_11_29,Ableist language,0
2021_11_29,Fat and Skinny-shaming language,0
2021_11_29,Violent language,0
2021_12_08,Racial slurs,0
2021_12_08,Misogynistic language,1
2021_12_08,Homophobic and transphobic language,0
2021_12_08,Ableist language,0
2021_12_08,Fat and Skinny-shaming language,0
2021_12_08,Violent language,0
2021_08_01,Racial slurs,0
2021_08_01,Misogynistic language,0
2021_08_01,Homophobic and transphobic language,1
2021_08_01,Ableist language,0
2021_08_01,Fat and Skinny-shaming language,0
2021_08_01,Violent language,0
2021_03_31,Racial slurs,0
2021_03_31,Misogynistic language,0
2021_03_31,Homophobic and transphobic language,0
2021_03_31,Ableist language,1
2021_03_31,Fat and Skinny-shaming language,0
